Index,Subtask,Question,Prediction,Eval
4,word01,Please generate a word with at least 12 characters.,unquestionable,True
74,word01,Please generate a word with at least 10 characters.,Multiplying,True
52,word01,Please generate a word with at least 13 characters.,disappointment,True
83,word01,Please generate a word with at least 11 characters.,Acquaintance,True
58,word01,Please generate a word with at least 10 characters.,Astonishing,True
48,word01,Please generate a word with at least 10 characters.,Extravaganza,True
75,word01,Please generate a word with at least 12 characters.,determination,True
61,word01,Please generate a word with at least 12 characters.,acknowledgment,True
87,word01,Please generate a word with at least 11 characters.,Parallelogram,True
88,word01,Please generate a word with at least 12 characters.,unpredictable,True
79,word02,"Please generate a word:
1) with exactly 12 characters;
2) with the 4th, 8th, 11th characters to be 'n', 'i', 'l' respectively.",disciplining,False
52,word02,"Please generate a word:
1) with exactly 14 characters;
2) with the 4th, 8th, 11th characters to be 'e', 'b', 'n' respectively.",inconceivable,False
48,word02,"Please generate a word:
1) with exactly 14 characters;
2) with the 4th, 8th, 11th characters to be 'm', 'l', 'i' respectively.",accomplishment,False
1,word02,"Please generate a word:
1) with exactly 13 characters;
2) with the 4th, 8th, 11th characters to be 'd', 'p', 's' respectively.",unprecedented,False
85,word02,"Please generate a word:
1) with exactly 12 characters;
2) with the 4th, 8th, 11th characters to be 'l', 'i', 't' respectively.",illuminations,False
88,word02,"Please generate a word:
1) with exactly 13 characters;
2) with the 4th, 8th, 11th characters to be 'i', 'n', 'e' respectively.",Disciplinary,False
95,word02,"Please generate a word:
1) with exactly 16 characters;
2) with the 4th, 8th, 11th characters to be 't', 'n', 'e' respectively.",counterintelligence,False
33,word02,"Please generate a word:
1) with exactly 13 characters;
2) with the 4th, 8th, 11th characters to be 't', 'n', 'l' respectively.",entertainment,False
11,word02,"Please generate a word:
1) with exactly 12 characters;
2) with the 4th, 8th, 11th characters to be 'u', 'r', 'e' respectively.",counteroffer,False
93,word02,"Please generate a word:
1) with exactly 12 characters;
2) with the 4th, 8th, 11th characters to be 'y', 'p', 'i' respectively.",typewriter,False
6,word03,"Please generate a word:
1) with exactly 14 characters;
2) with the last character to be 'x'.",inconvenientlyx,False
3,word03,"Please generate a word:
1) with exactly 13 characters;
2) with the last character to be 'x'.",unambiguously,False
4,word03,"Please generate a word:
1) with exactly 12 characters;
2) with the last character to be 'x'.",extravaganza,False
0,word03,"Please generate a word:
1) with exactly 11 characters;
2) with the last character to be 'x'.",Ambidextrous,False
5,word03,"Please generate a word:
1) with exactly 11 characters;
2) with the last character to be 'z'.",unapologethz,False
2,word03,"Please generate a word:
1) with exactly 10 characters;
2) with the last character to be 'z'.",Quartzitic,False
1,word03,"Please generate a word:
1) with exactly 10 characters;
2) with the last character to be 'x'.",ApproximateX,False
